a3,f3,h3,i3,p3
profess,even,comfort,faith,abstain
adult,game,heal,honest,church
throw,grade,hospital,love,clean
elder,honest,injure,honor,down
charge,sport,kind,hurt,honest
in.,good,love,relate,pure
obey,honor,nurture,family,religion
control,life,doctor,lie,shame
respect,relate,hate,friend,dirt
law,test,hurt,care,good
rule,equal,pain,respect,innocent
govern,moral,safe,,sex
lead,lie,violence,,white
power,fair,danger,,young
teach,friend,help,,mean
parent,wrong,mean,,moral
,bad,self,,water
,right,abuse,,bad
,school,family,,child
,respect,friend,,god
,rule,protect,,respect
,,care,,
,,mother,,
,,parent,,
