"x"
"state"
"also"
"polic"
"definit"
"befor"
"especi"
"god"
"citizen"
"point"
"shown"
"clear"
"turn"
"absolut"
"ask"
"busi"
"murder"
"fulli"
"abus"
"mother"
"occur"
"excus"
"religi"
"besid"
"concept"
"violenc"
"certain"
"effort"
"incent"
"compani"
"liter"
"polici"
"none"
"fall"
"reach"
"cleaner"
"entiti"
"ultim"
"gender"
"marri"
"revers"
"father"
"accid"
"separ"
"studi"
"wise"
"rememb"
"partner"
