Filename,Segment,WC,WPS,Sixltr,Dic,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,AllPct
539.Jackson-Lee.4.5.06.docx,1,695,24.82,28.35,75.83,51.08,12.81,6.19,2.59,1.29,0.72,0,1.58,6.62,6.76,10.94,7.91,1.15,6.62,0.86,2.16,13.53,5.47,1.58,2.01,0.58,0,10.5,0,0.58,3.17,4.03,2.59,1.44,0,1.15,0.29,12.95,1.58,0.58,1.15,1.29,1.15,0.43,5.32,2.16,2.73,0.72,1.44,0.58,1.01,0.43,0,0.29,0.29,11.94,2.3,6.19,3.17,3.17,2.45,0.29,0.43,0.86,0,0.72,0,0,0.14,4.46,8.63,0,0.14,0,0,0.29,0,0.72,0,0,14.24
540.Olver.4.5.06.docx,1,305,23.46,34.43,71.48,44.26,4.92,1.64,0.98,0,0,0,0.66,3.28,9.84,8.52,5.9,1.64,5.9,0,0.66,14.43,5.9,0.33,0.98,1.97,0,5.25,0,0.33,0.98,5.57,2.3,3.28,0.66,1.97,0,11.8,0.98,0,0.66,0.66,0.66,2.62,4.92,1.97,0.33,0,0.33,0,0,0,0,0,0,13.77,2.62,7.21,3.93,3.61,1.64,0,0.98,0.66,0,1.31,0,0,0,5.57,3.93,0,0,0,0,0.66,0,0,0,0,10.16
541.Andrews.4.5.06.docx,1,578,21.41,28.72,74.22,45.16,7.96,3.11,1.9,0.69,0,0,0.52,4.84,9.34,8.48,5.19,1.38,5.36,0.35,1.21,13.84,5.71,0.35,1.9,1.04,0.17,5.54,0,0.52,2.08,7.09,4.84,2.25,0.35,1.04,0.35,9.69,0.17,1.04,0.69,0.69,0.17,0.35,4.84,0.87,1.04,0.17,0.87,0,0.69,0.35,0.17,0.17,0,13.32,2.25,7.44,3.63,3.46,3.46,0,0.17,1.38,0.35,1.56,0.17,0.17,0,5.88,6.23,0.17,0,0,0,0.35,0,0.69,0,0,13.32
542.McNulty.4.5.06.docx,1,338,17.79,28.99,71.6,44.67,9.76,5.92,2.96,2.66,0,0.3,0,3.85,6.51,11.54,5.33,2.96,5.33,0.3,1.48,13.02,6.51,0.89,1.78,0.89,0,5.62,0,0.59,1.48,4.73,3.25,1.48,0,0.59,0.59,13.02,1.48,2.07,0.59,0.3,0.89,0,6.21,1.78,1.78,0.89,0.59,0,1.18,0.3,0,0,0.89,14.2,2.37,4.73,6.8,1.78,2.07,0.3,0.89,1.48,0,2.37,0,0,0,7.69,4.44,0.3,0,0,0,0.89,0,1.48,0,0,14.79
543.GreenTX.4.5.06.docx,1,287,20.5,36.24,69.69,41.81,8.01,3.83,3.14,0.7,0,0,0,4.18,7.67,10.1,6.62,0.7,6.97,0.35,1.05,14.63,3.83,0.35,0.7,0.35,0,4.88,0,0.35,1.74,6.62,4.18,2.44,0,1.74,0.7,8.71,1.39,1.39,0.35,0.7,0.35,0.35,4.53,1.05,1.39,0.35,0.35,0.7,1.39,0.7,0,0.35,0.35,12.54,2.79,5.57,4.18,2.79,2.09,0.35,0,0.7,0.35,2.09,0,0,0,8.01,6.62,0,0,0,0,0.35,0,1.74,0,0,16.72
544.Larson.4.5.06.docx,1,515,22.39,31.65,72.23,42.33,6.21,1.75,0.39,0.58,0,0,0.78,4.47,9.32,9.51,4.85,1.36,5.24,0.58,1.75,13.79,4.85,0.97,1.94,0.58,0,6.6,0,0,2.14,6.99,3.69,3.3,0.39,0.78,0.78,8.54,0.58,0.39,0.39,0.58,0.39,1.36,4.27,0.58,0.97,0.39,0.39,0.39,1.17,0,0.97,0.19,0,16.31,2.72,7.77,5.44,2.91,2.72,0,0.19,0.97,0.19,0.58,0,0,0,5.44,6.41,0,0.19,0,0,0,0,1.36,0,0,13.4
545.Schiff.4.5.06.docx,1,788,26.27,38.45,71.83,38.45,2.54,0.76,0.51,0,0,0,0.25,1.78,9.39,6.85,3.81,1.78,3.05,0.25,1.02,12.56,5.46,0.51,1.14,2.28,0,5.58,0,0,3.17,8.5,4.57,3.93,0.51,2.92,0.25,11.29,0.89,1.52,0.25,0.76,1.27,1.78,4.57,0.51,0.51,0,0.51,0,1.52,0.25,0.51,0.51,0.25,16.12,2.79,6.98,6.35,3.05,3.3,0.51,0.25,1.14,0.25,2.28,0,0,0,7.11,7.99,0,0,0,0,0,0,3.81,0.25,0,19.42
546.Cardin.4.5.06.docx,1,384,22.59,37.5,71.35,40.89,7.29,2.34,0.78,1.04,0,0,0.52,4.95,7.55,8.07,3.91,1.82,3.12,0.78,1.04,14.06,4.95,0,1.56,2.08,0,4.17,0,0,1.82,5.73,3.39,2.34,0,2.08,0,12.5,0.52,2.08,1.04,1.3,0,3.12,5.47,0.52,0.78,0,0.26,0,0.78,0.26,0.26,0.26,0,12.5,3.12,5.73,2.86,3.91,2.08,0.26,0.78,2.08,0,1.56,0,0,0,6.51,6.25,0,0,0,0,0.26,0,0,0.26,0.26,13.8
547.McGovern.4.5.06.docx,1,492,17.57,31.1,73.78,41.67,8.94,5.08,2.24,1.42,0,0,1.42,3.86,7.11,7.52,3.66,0.41,5.28,0.81,2.03,10.77,7.32,1.42,2.85,0,0,8.33,0,1.02,2.85,7.72,4.27,3.46,1.02,1.42,0.61,14.84,0.41,0.61,0.81,0,1.63,2.03,7.93,1.42,1.63,0.2,1.42,0,1.42,0.81,0.2,0.2,0.61,13.82,3.25,5.28,5.28,4.07,2.64,0,0.41,1.22,0.2,1.63,0,0.2,0.2,8.33,11.18,0,0.81,0,0,0.61,0,0,0.2,0,21.34
548.Tancredo.4.5.06.docx,1,597,25.96,39.03,69.85,39.87,6.03,3.02,2.35,0.34,0,0.17,0.17,3.02,7.04,8.38,5.03,1.34,4.86,0.84,1.51,12.9,5.53,1.17,1.84,0.34,0,4.69,0,0.17,2.01,6.53,2.85,3.69,0.5,1.51,0.5,11.89,1.01,0.84,1.68,1.17,1.17,1.17,4.69,0.67,1.01,0,1.01,0,1.68,0.17,1.01,0.5,0,12.06,2.01,4.86,4.86,3.52,3.02,0,0,0.67,0,2.35,0,0,0,6.03,6.87,0.34,2.01,0,0,0.34,0,0.34,0.17,0,16.25
