IDNO,Name,Regions,OpposeSupport,PartyAffliation,i,we,you,shehe,they,past,present,future,negate,social,posemo,negemo,insight,cause,discrep,tentat,certain,inhib,incl,excl,motion,achieve,money,relig,death
515,Dodd,1,1,2,2.97,1.88,.03,.49,.49,1.64,6.94,1.61,1.52,6.55,3.49,3.24,3.85,1.82,2.58,2.88,2.18,1,3.79,2.94,1.46,3.46,.15,0,.27
7,Bennett,1,1,1,.99,2.91,0,.64,1.06,2.56,5.46,1.77,1.77,8.45,2.7,3.19,1.63,1.49,1.49,2.34,1.49,.92,5.04,2.7,2.77,3.69,.5,.21,.92
507,Kennedy,1,0,2,.99,2.91,.14,1.1,.78,1.38,6.63,1.6,1.31,8.12,2.59,4.65,2.52,2.34,1.42,2.2,1.06,2.06,4.54,2.55,1.31,3.33,.32,.11,1.81
514,Hagel,1,1,1,.67,3.12,0,.11,.17,.61,5.07,1.95,1.67,5.96,3.29,2.28,2.84,2.45,1.67,1.78,1.78,1.39,6.18,1.95,1.95,3.51,.5,.17,.45
526,Murray,1,0,2,1.85,4.49,.08,.17,.71,1.89,7.59,1.38,1.51,9.44,2.39,4.07,3.4,1.8,1.38,2.1,1.55,.8,5.79,2.22,1.8,3.27,.59,.04,.88
256,Kyl,1,1,1,.94,1.76,.3,1.28,.56,2.27,5.95,1.33,1.46,6.68,2.61,2.05,1.46,2.48,2.27,2.53,.98,1.16,4.62,3,1.24,2.44,.26,.09,.09
464,"Clinton, H.",1,1,2,1.4,2.03,0,1.49,.32,1.62,5.73,1.53,.95,6.63,3.7,4.24,2.07,2.93,2.17,2.44,1.58,1.94,5.59,1.62,1.85,4.1,.27,.32,.54
528,Reed,1,0,2,.33,2.19,0,.72,.85,.83,4.59,1.7,.89,5.62,2.19,5.09,2.4,2.96,1.39,2.67,1.24,1.3,3.85,2.3,1.18,3.66,.66,.25,.83
186,Lott,1,1,1,1.97,3.05,.25,.84,.84,1.97,9.43,1.52,1.52,8.8,1.87,2.36,2.8,2.85,2.21,1.72,1.97,.54,6.49,2.11,2.75,2.46,.25,.05,.2
370,Craig,1,1,1,1.59,3.18,.06,.53,.24,2.24,5.9,1.24,.71,6.43,2.89,2.71,1.95,2.36,1.42,.94,2.06,1.89,6.54,1.06,1.42,2.83,.24,.06,.12
296,McCain,1,1,1,1.36,2.15,0,.34,0,.68,5.56,2.15,1.59,5.33,2.83,2.95,2.15,2.27,2.27,1.7,2.38,1.59,5.1,2.38,1.13,2.49,.23,.34,.11
208,Murkowski,1,1,1,1.59,.86,0,.98,.31,.79,4.89,1.04,.61,5.2,2.63,1.53,2.87,2.81,1.1,.92,1.71,1.53,3.24,.73,2.02,3.24,1.34,0,.43
455,Wellstone,1,0,2,1.84,2.25,0,.36,.3,1.24,4.92,2.02,.71,5.33,2.79,4.62,2.49,2.31,2.55,1.42,1.19,.95,4.86,1.07,1.66,3.44,.47,0,.83
184,Feingold,1,0,2,1.23,2.11,0,.2,.48,.75,6.88,1.84,1.43,6.26,2.93,3.88,2.31,2.59,1.7,3.27,1.36,1.84,4.08,2.79,1.84,3,.07,.07,.14
519,Domenici,1,1,1,2.54,3.67,.28,1.07,.34,1.75,8.52,1.3,1.35,9.59,2.37,3.16,3.22,2.2,2.14,2.2,1.81,1.19,4.63,2.37,1.69,4.68,.23,0,.45
404,McCain,1,1,1,.88,2.22,.03,1.67,.81,1.56,5.12,1.77,1.6,8.3,3.54,4.52,2.36,2.27,1.79,1.91,1.03,2.23,3.68,2.66,1.29,3.2,.34,.24,.52
357,Cleland,1,1,2,2.37,3.14,0,.77,1.12,1.33,7.4,.56,.84,8.1,2.86,3.28,2.44,2.65,.98,1.68,1.4,1.75,5.52,1.68,1.47,1.89,1.33,0,.56
530,Inhofe,1,1,1,1.77,2.89,.23,1.97,.95,3.58,7.62,1.08,1.58,10.61,2.59,2.23,2.56,1.48,1.35,1.54,1.05,1.22,4.4,1.9,1.54,2.1,.23,.16,.3
281,Lieberman,1,1,2,1.57,1.05,0,1.05,.52,1.05,5.59,1.05,.87,5.77,4.9,2.45,3.15,1.57,1.22,1.57,1.57,1.75,4.37,1.4,1.57,2.62,0,0,.52
