IDNO,Name,Regions,OpposeSupport,PartyAffliation,i,we,you,shehe,they,past,present,future,negate,social,posemo,negemo,insight,cause,discrep,tentat,certain,inhib,incl,excl,motion,achieve,money,relig,death
287,Nickles,2,0,1,3.59,2.94,.64,.89,1.37,2.42,8.66,1.97,1.65,10.07,3.75,2.58,1.85,2.22,2.26,3.14,.44,.73,4.67,2.22,1.89,1.93,0,.04,.6
53,Bennett,2,0,1,2.02,2.49,.42,2.25,.59,3.2,6.23,1.01,1.9,9.61,2.14,3.2,1.72,1.84,1.07,1.3,1.25,.77,4.69,2.25,3.14,3.26,0,.06,1.72
286,Inhofe,2,0,1,1.58,3,.33,.25,1.25,2.25,7.74,1,2.33,10.73,3.08,4.24,1.33,1.16,1.41,2,1.66,1.41,5.99,2,1.83,1.75,.17,.33,1.16
111,Feingold,2,0,2,1.75,.32,0,0,1.11,3.18,4.13,.64,.16,6.52,2.23,3.34,1.27,2.07,.64,1.75,.64,.95,3.66,.64,1.75,2.86,.64,0,1.75
446,Warner,2,1,1,2.74,1.37,0,0,.34,1.88,4.97,.68,.68,4.97,1.03,1.2,1.03,2.91,1.54,1.37,1.71,1.54,4.79,1.88,1.54,2.74,.86,.17,0
249,Warner,2,1,1,3.53,2.65,.51,.15,.66,1.4,7.27,.96,.66,8.23,3.97,2.06,1.32,1.98,1.98,2.5,1.91,.44,5,2.06,2.79,2.5,.22,0,.07
202,Snowe,2,1,1,.68,2.05,0,.11,.34,1.14,2.16,.23,.34,5.92,3.64,2.05,1.14,1.71,.46,1.02,1.93,.68,4.21,.8,1.59,2.96,3.3,.11,0
245,Hutchison,2,0,1,2.1,4.96,.16,.69,.56,1.48,10.94,1.77,2.3,9.62,3.09,1.15,2.2,1.81,2.43,2.2,1.9,.82,7.22,3.91,2.66,2.73,.36,.03,.26
55,Biden,2,1,2,.21,1.05,0,.21,.84,1.68,2.74,.63,0,5.47,1.47,2.95,.42,2.74,1.68,.21,1.05,1.68,4,.21,2.32,2.53,.42,.42,.84
426,Specter,2,1,1,1.34,1.42,0,.32,.24,2.29,5.14,1.03,1.11,5.38,1.98,1.5,2.92,2.69,1.26,1.03,.63,.63,3.24,1.98,1.26,4.19,.08,0,.32
228,Gregg,2,0,1,1.68,2.46,.09,.09,.91,2.28,8.74,.86,1.73,6.65,1.46,2.41,3.05,3.46,1.37,2.87,1.46,.5,4.69,2.82,2.18,2.32,.5,.18,.68
222,Gorton,2,0,1,1.35,2.7,.3,0,.6,1.05,5.4,1.5,1.8,7.05,2.85,1.8,1.8,2.55,1.8,1.95,1.65,.9,6.3,2.55,1.05,3,.75,.15,1.2
290,Bunning,2,0,1,1.02,2.84,.68,0,.91,2.96,8.08,1.71,1.59,8.08,1.93,2.28,1.59,1.93,1.82,2.16,1.59,.91,5.46,3.07,1.93,1.25,.46,.23,.68
441,Warner,2,1,1,3.84,1.76,.48,.48,.64,3.84,6.88,.8,.64,6.88,2.56,1.44,1.76,2.4,1.28,1.76,.64,.64,4.64,1.6,1.76,2.56,.16,0,.48
450,Warner,2,1,1,3.02,1.26,0,0,.67,1.76,7.88,.75,.92,5.53,3.69,2.43,1.51,1.51,.92,2.18,1.51,1.26,5.62,1.93,2.18,2.43,0,.34,.17
456,Wellstone,2,1,2,2.14,2.06,0,.84,.99,1.6,6.42,1.91,1.45,7.56,2.06,2.6,1.91,2.14,2.9,1.76,1.38,1.76,5.5,2.14,1.91,1.6,.23,.08,.76
211,Feinstein,2,1,2,1.76,1.44,0,.64,.8,2.24,5.76,.96,1.44,6.4,3.36,1.92,2.08,2.4,1.44,1.44,1.44,1.92,6.4,2.24,1.44,2.72,.16,.48,.8
317,Bunning,2,0,1,1.4,3.3,.38,.51,1.14,1.78,8.63,1.14,2.41,9.52,3.43,1.9,2.54,1.4,1.4,3.17,1.4,.63,5.46,3.43,1.65,2.79,.89,.25,.13
292,Warner,2,1,1,4.04,2.7,0,.61,.86,2.33,7.48,1.1,1.47,9.8,2.45,.61,2.94,1.1,2.21,2.57,1.47,1.23,5.15,2.57,1.72,2.82,.25,0,0
81,Dewine,2,1,1,.55,1.59,0,.76,.69,2.21,5.24,1.31,1.52,5.51,2.55,2.69,1.45,1.65,2.14,3.1,1.79,.76,4.55,2.76,1.45,2.69,.07,.07,.48
248,Specter,2,1,1,2.84,1.12,.19,1.44,.19,2.75,6.99,1.63,.98,7.17,1.77,1.16,2.84,1.96,1.77,2.93,.84,1.07,3.45,2.28,1.54,2.56,.23,.05,.61
447,Warner,2,1,1,3.95,1.21,.36,.12,.85,1.78,7.75,1.01,.73,5.49,1.82,1.82,1.69,2.34,1.69,1.29,1.37,.81,5.17,1.57,2.66,2.62,.28,0,.16
232,Specter,2,1,1,1.21,1.41,0,.2,.6,2.01,7.34,.5,1.01,4.82,2.31,2.71,2.11,1.11,1.21,1.11,1.01,.9,4.32,2.21,2.41,2.31,.1,0,.6
91,Domenici,2,0,1,3.25,3,.5,.5,.75,.5,8,1.25,.25,8,2.75,3.25,2.5,1.75,1.5,1.75,1.25,1,4.75,1.25,2.25,2.5,1,0,.25
77,Daschle,2,1,2,.6,1.43,0,.72,.36,1.67,4.3,.95,1.07,6.21,2.27,2.51,2.03,2.74,1.55,1.79,2.27,1.31,4.42,1.67,2.39,2.74,.24,.36,.95
201,Roberts,2,0,1,2.57,2.79,.29,.44,.37,1.76,7.92,.81,1.1,9.17,3.08,1.25,1.83,1.54,1.69,2.13,1.61,1.03,6.16,2.2,1.1,1.25,.81,.07,.07
457,Wellstone,2,1,2,2.39,1.37,0,.14,.58,.94,5.57,.94,.65,7.38,2.53,1.59,2.1,2.68,1.01,1.88,1.3,1.59,5.21,1.37,2.53,3.26,.14,0,.36
57,Biden,2,1,2,2.47,1.21,.08,1.02,.51,2.15,5.64,2.04,1.25,6.46,2.94,1.41,1.68,2.51,2.35,1.68,1.61,1.25,3.49,1.96,1.53,2.78,.27,.08,.31
88,Domenici,2,0,1,2.14,2.05,.37,.09,1.21,1.12,7.27,1.68,1.3,6.8,2.89,2.24,2.98,2.24,1.58,1.49,1.86,1.21,3.36,1.86,1.68,2.7,.93,.09,.19
449,Warner,2,1,1,3,1.26,.41,.49,.85,1.38,7.7,1.34,1.78,6.12,2.23,1.78,2.07,2.8,1.74,1.54,1.18,1.38,4.87,2.31,1.95,2.68,.04,.04,.2
313,McConnell,2,1,1,1.03,.88,0,.51,.44,1.47,3.37,.29,.51,5.87,2.35,3.67,1.39,2.64,.37,.66,1.17,1.69,5.5,.88,1.39,2.86,.29,.15,.81
289,Biden,2,1,2,2.52,2.96,.38,.31,.57,2.58,8.93,1.19,1.13,7.74,2.45,1.32,2.96,2.52,1.95,2.26,1.64,1.38,5.22,2.52,1.95,1.64,.13,.06,.31
399,Roberts,2,0,1,2.37,2.85,.14,.35,.56,1.88,7.93,.7,1.25,8.07,2.09,1.95,2.02,1.39,1.39,2.09,1.88,.63,5.78,1.81,1.6,2.02,.63,.07,.07
400,Roberts,2,0,1,1.48,1.77,.07,.32,.32,1.7,6.21,1.26,1.73,6.86,2.71,1.55,2.89,2.64,1.7,2.24,1.41,1.52,4.44,2.09,1.62,2.56,.54,.04,.43
401,Roberts,2,0,1,2.1,2.4,.35,.4,.55,2.3,7.79,1.15,1.25,8.39,2.4,1.9,1.45,1.5,1.2,1.75,1.2,1,6.29,2.1,2.05,1.55,.3,.15,.35
310,McCain,2,1,1,.5,.95,0,.39,.34,1.68,4.43,1.4,1.23,4.32,2.08,2.92,1.35,1.85,1.18,1.01,1.35,1.79,4.15,1.79,1.23,2.69,.39,.11,.79
54,Biden,2,1,2,1.55,.75,.08,.68,.48,1.27,4.77,1.43,.95,5.52,1.75,2.3,1.75,2.42,1.55,1.91,1.71,1.23,4.21,2.18,1.51,2.34,.32,.2,.44
64,Byrd,2,1,2,1.69,2.05,0,.41,.77,1.64,6.76,1.33,1.64,7.22,2,2.1,2,1.18,1.48,2.3,1.02,1.38,5.02,2.66,2.25,2.41,.46,0,.56
247,Biden,2,1,2,2.94,1.56,.36,.87,.94,3.46,6.55,1.07,1.24,8.35,2.22,1.96,2.15,2.58,1.53,2.22,1.33,.91,4.18,2.25,1.74,2.58,.23,.22,.42
