IDNO,Name,Date,Venue,,Region,PartyAffiliation,Honesty,Status,CatThink,ComplexThink,CogProcess,PsychDistance,Presidentiality,Depression,,Title,Dateno,,,,Month,Day,Year
56,Biden,3/7/2001,Senate,,North Korea,D,1.765648,-0.433272,2.299316,-2.166,-1.608941,3.519278,1.320529,-1.280247,,Senator,36957,,,,3,7,1
58,Biden,9/22/2008,Senate,,North Korea,D,-1.432337,-1.717141,2.519098,-3.602611,-1.655368,3.003934,2.706977,-4.220487,,Senator,39713,,,,9,22,8
59,Brownback,4/29/2008,Senate,,North Korea,R,-2.209321,0.873407,0.000542,-2.474102,-1.14952,1.521821,-1.13405,1.050353,,Senator,39567,,,,4,29,8
61,Brownback,6/4/2009,Senate,,North Korea,R,-3.623162,-0.098568,-2.49044,-0.938945,0.139833,-3.357035,-3.380234,0.492861,,Senator,39968,,,,6,4,9
62,Brownback,6/27/2008,Senate,,North Korea,R,-1.347569,0.401881,-0.768883,-3.185567,-1.821811,-0.758865,-2.273122,1.350074,,Senator,39626,,,,6,27,8
63,Brownback,11/18/2010,Senate,,Iran,R,-2.993967,-0.548358,3.50854,-4.516937,-1.911159,3.752557,3.703987,-2.500864,,Senator,40500,,,,11,18,10
67,Coleman,3/9/2006,Senate,,Iran,R,-5.935276,0.447971,-0.100804,-1.442135,0.001481,-1.18251,0.919458,-1.089223,,Senator,38785,,,,3,9,6
68,Collins,5/22/2013,Senate,,Iran,R,2.451288,-1.318203,4.505928,-4.788792,-1.009622,4.931848,3.240615,-0.747544,,Senator,41416,,,,5,22,13
76,Daschle,2/6/2003,Senate,,North Korea,D,2.49361,-0.350142,0.305508,-1.465215,-0.540304,2.479832,-1.252991,0.15944,,Senator,37658,,,,2,6,3
78,Dayton,2/13/2003,Senate,,Iraq,D,1.378024,1.000583,0.362605,0.262458,0.094012,1.768755,-1.064165,1.211313,,Senator,37665,,,,2,13,3
79,DeMint,6/8/2009,Senate,,North Korea,R,0.823164,-0.444408,-0.52812,-1.652278,-1.282164,1.829404,-1.849568,0.368643,,Senator,39972,,,,6,8,9
85,Dodd,3/7/2003,Senate,,Iraq,D,0.334688,-0.287989,-0.555149,-0.263073,-0.319137,-1.341112,0.061128,-0.198206,,Senator,37687,,,,3,7,3
87,Domenici,2/22/2000,Senate,,Iran,R,4.886188,-0.715546,3.935805,-0.267947,-1.107758,5.451232,2.349753,-0.300479,,Senator,36578,,,,2,22,0
90,Domenici,1/28/2003,Senate,,Iraq,R,-2.92349,-0.080756,-5.842718,-0.324894,-1.871806,-5.041899,-4.067086,0.052868,,Senator,37649,,,,1,28,3
94,Biden,5/24/2007,Senate,,Iraq,D,5.503075,-0.281074,1.163587,-2.054181,-1.254035,1.514154,-1.864428,2.055909,,Senator,39226,,,,5,24,7
99,Durbin,3/13/2003,Senate,,Iraq,D,-1.302438,0.592028,-0.023951,-1.406281,-0.617231,0.988896,0.260513,-1.235556,,Senator,37693,,,,3,13,3
104,Durbin,10/30/2007,Senate,,Iran,D,3.193984,-0.406121,1.382298,-0.815905,-0.417003,4.154328,0.273482,0.547454,,Senator,39385,,,,10,30,7
105,Edwards,9/12/2002,Senate,,Iraq,D,-4.003992,0.981223,1.604117,-3.547179,-0.710097,1.839293,2.350856,-2.064245,,Senator,37511,,,,9,12,2
106,Feingold,12/8/2006,Senate,,North Korea,D,-3.139844,1.014905,-0.213434,-1.826317,-1.449651,0.791701,1.330109,-4.124396,,Senator,39059,,,,12,8,6
110,Feingold,7/25/2002,Senate,,Iraq,D,2.050927,-1.222135,2.195314,-0.133842,1.856704,1.073267,1.95465,0.350427,,Senator,37462,,,,7,25,2
112,Feingold,6/22/2007,Senate,,Iran,D,-0.034549,2.220173,-0.547596,1.636189,-1.091161,-0.21068,-0.155274,-1.504723,,Senator,39255,,,,6,22,7
181,Feingold,11/8/2007,Senate,,Iran,D,1.241261,1.573496,1.57921,-1.676332,-1.388818,1.852517,0.345746,-1.089323,,Senator,39394,,,,11,8,7
184,Feingold,9/26/2002,Senate,,Iraq,D,-0.360002,-0.245841,1.196551,1.203345,0.68542,1.514409,0.656598,0.299309,,Senator,37525,,,,9,26,2
185,Feinstein,4/10/2003,Senate,,North Korea,D,1.917542,-0.442758,1.624463,-1.378599,-0.282439,4.026618,0.583608,-1.041083,,Senator,37721,,,,4,10,3
186,Lott,2/12/1998,Senate,,Iraq,R,0.846677,0.186794,-2.192718,0.407292,1.24397,-2.01433,-1.992825,0.109695,,Senator,35838,,,,2,12,98
187,Daschle,2/12/1998,Senate,,Iraq,D,-0.575352,0.060631,2.145352,-0.697918,1.121325,2.386296,1.12065,-1.221881,,Senator,35838,,,,2,12,98
188,Biden,2/12/1998,Senate,,Iraq,D,1.089682,-0.038615,2.144011,1.088705,1.740154,3.068661,1.761608,-1.091621,,Senator,35838,,,,2,12,98
189,Hutchison,2/12/1998,Senate,,Iraq,R,-7.13486,2.272007,-1.230237,-0.31622,0.070496,-1.859888,-0.275928,0.017991,,Senator,35838,,,,2,12,98
190,Lieberman,2/12/1998,Senate,,Iraq,D,-1.464327,0.569572,1.296462,0.761403,0.68399,1.680418,0.829673,-0.134145,,Senator,35838,,,,2,12,98
191,Levin,2/12/1998,Senate,,Iraq,D,1.413268,-0.910935,1.977104,-0.841761,0.373809,3.490287,1.944528,-1.407762,,Senator,35838,,,,2,12,98
192,Lott,2/22/2000,Senate,,Iran,R,2.242212,-1.621548,0.603923,0.42701,-0.34255,0.091735,0.7569,-0.913527,,Senator,36578,,,,2,22,0
193,Lieberman,2/22/2000,Senate,,Iran,D,-0.69046,0.759698,2.324083,-1.009641,-0.091772,2.840654,1.492456,-0.838499,,Senator,36578,,,,2,22,0
194,Biden,2/22/2000,Senate,,Iran,D,-0.599793,-0.311321,0.169497,-0.073369,-0.938133,-0.800028,-0.21375,-0.193402,,Senator,36578,,,,2,22,0
195,Shelby,2/22/2000,Senate,,Iran,R,0.80449,-0.306875,2.423014,-0.412213,-0.111551,2.872441,1.065368,0.229841,,Senator,36578,,,,2,22,0
196,Feinstein,2/22/2000,Senate,,Iran,D,2.431538,-0.972369,2.695079,-3.766371,-2.20013,2.946336,0.763365,-1.171611,,Senator,36578,,,,2,22,0
197,Helms,2/22/2000,Senate,,Iran,R,1.617219,-0.869646,3.977896,-2.226768,-0.31272,6.048366,1.747692,-0.713006,,Senator,36578,,,,2,22,0
198,Cochran,2/22/2000,Senate,,Iran,D,4.265583,-0.76572,1.466569,-3.891283,-1.340691,4.60948,-0.983642,-1.393221,,Senator,36578,,,,2,22,0
199,Levin,2/22/2000,Senate,,Iran,D,2.744517,-2.853916,3.209691,2.161518,2.176884,3.57208,2.154359,-0.88473,,Senator,36578,,,,2,22,0
200,Kyl,2/22/2000,Senate,,Iran,R,4.528522,-1.78836,4.049924,-3.297608,-1.465474,5.338529,0.8887,0.549442,,Senator,36578,,,,2,22,0
206,Specter,3/12/1998,Senate,,Iraq,R,3.087034,-1.286674,3.385676,-2.675716,-0.524481,6.162081,2.007558,0.409055,,Senator,35866,,,,3,12,98
207,Dorgan,3/12/1998,Senate,,Iraq,D,0.895348,-1.387497,0.34723,-2.438007,-1.228753,2.828663,-1.020567,5.314453,,Senator,35866,,,,3,12,98
208,Murkowski,3/12/1998,Senate,,Iraq,R,0.884638,-1.538542,2.337958,-1.139131,1.227541,3.023751,1.284292,-0.282566,,Senator,35866,,,,3,12,98
209,Helms,3/12/1998,Senate,,Iraq,R,-0.124613,-0.723328,-0.420301,-3.448378,-1.655368,0.839147,-2.20093,3.97869,,Senator,35866,,,,3,12,98
210,Feinstein,9/5/2002,Senate,,Iraq,D,3.097463,0.318681,0.44767,-1.701184,-0.455685,1.779601,-1.219564,1.478722,,Senator,37504,,,,9,5,2
212,Feinstein,9/25/2002,Senate,,Iraq,D,-0.356167,0.470752,-0.843021,1.217561,0.238691,-0.867698,-1.24498,0.110393,,Senator,37524,,,,9,25,2
215,Frist,7/25/2006,Senate,,North Korea,R,1.173918,-1.163355,2.967997,-2.334042,-1.334144,4.727544,0.962584,-1.666848,,Senator,38923,,,,7,25,6
218,Frist,3/7/2003,Senate,,Iraq,R,1.073534,0.783896,0.502858,1.060882,-0.40069,2.382228,0.309513,-1.151479,,Senator,37687,,,,3,7,3
224,Grams,2/27/1998,Senate,,Iraq,R,2.53437,-0.613522,1.273251,1.000531,0.37216,2.20666,-0.043893,-0.232541,,Senator,35853,,,,2,27,98
227,Gregg,2/12/1998,Senate,,Iraq,R,0.550988,1.938154,0.445961,1.702679,1.35293,1.334211,-0.281281,-0.868232,,Senator,35838,,,,2,12,98
229,Hagel,12/4/2007,Senate,,Iran,R,-0.372407,0.33924,1.967816,-1.557443,0.627564,3.027563,1.692039,-2.829135,,Senator,39420,,,,12,4,7
230,Hutchinson,2/25/1998,Senate,,Iraq,R,-4.82212,1.628883,-1.384841,-3.703757,-0.736255,-0.85664,-0.24467,-1.388998,,Senator,35851,,,,2,25,98
237,Kaufman,6/18/2009,Senate,,Iran,R,2.61945,-1.411445,2.360714,-3.211309,-2.570422,5.689401,2.708106,-4.948932,,Senator,39982,,,,6,18,9
239,Kennedy,3/5/2003,Senate,,Iraq,D,5.155877,-2.364266,4.170856,-3.374531,-2.393929,3.928863,2.283072,4.879882,,Senator,37685,,,,3,5,3
240,Kennedy,3/13/2003,Senate,,Iraq,D,-0.825126,1.292098,1.095801,-0.404889,-0.233809,2.690044,0.783229,-0.040644,,Senator,37693,,,,3,13,3
241,Specter,10/7/2002,Senate,,Iraq,R,3.446775,-1.219233,2.134052,0.339593,-0.066877,2.107426,0.807626,0.53497,,Senator,37536,,,,10,7,2
242,Kennedy,10/7/2002,Senate,,Iraq,D,2.992,0.679338,2.744768,-0.930611,-0.795103,4.901082,0.858318,0.880829,,Senator,37536,,,,10,7,2
250,Kerrey,2/25/1998,Senate,,Iraq,D,-2.404391,1.648868,1.908046,-2.244907,-0.295956,2.202436,1.475711,-1.013498,,Senator,35851,,,,2,25,98
251,Kerrey,2/25/1999,Senate,,Iraq,D,0.637196,0.058887,0.972445,-2.312673,-0.472836,2.254081,0.357102,0.073706,,Senator,36216,,,,2,25,99
252,Kerrey,3/2/2000,Senate,,Iraq,D,2.011748,-0.167274,2.706734,-0.8541,-0.417827,3.441162,1.302272,-0.998483,,Senator,36587,,,,3,2,0
253,Kirk,10/13/2011,Senate,,Iran,R,-0.147507,0.247078,1.545434,-2.791321,-1.315847,2.896805,0.116198,0.01824,,Senator,40829,,,,10,13,11
256,Kyl,8/31/1998,Senate,,Iraq,R,0.585348,-0.039218,1.52525,1.673768,0.141869,1.411609,0.895545,-1.513169,,Senator,36038,,,,8,31,98
257,Kyl,1/15/2003,Senate,,North Korea,R,-1.157252,0.404672,0.066193,-0.683036,-0.06006,0.288301,-0.58631,-0.479092,,Senator,37636,,,,1,15,3
258,Kyl,6/4/2009,Senate,,North Korea,R,0.92439,-0.40437,1.551222,0.242345,-0.323815,3.635233,1.049685,-2.525264,,Senator,39968,,,,6,4,9
259,Kyl,3/2/1998,Senate,,Iraq,R,0.956354,-0.793698,1.588791,0.932238,0.451947,1.892766,1.407008,-1.527841,,Senator,35856,,,,3,2,98
260,Kyl,10/19/2009,Senate,,Iran,R,4.349219,-0.670903,2.669935,-1.355667,-1.427062,5.393944,1.609786,-1.137344,,Senator,40105,,,,10,19,9
261,Kyl,1/30/2003,Senate,,Iraq,R,-0.573507,-0.203628,-0.595937,2.377905,0.596407,-0.522979,-0.236152,-1.146979,,Senator,37651,,,,1,30,3
262,Santorum,1/30/2003,Senate,,Iraq,R,0.51713,0.098456,-3.02984,5.160511,1.442884,-1.119511,-2.526423,1.046031,,Senator,37651,,,,1,30,3
263,Kyl,9/23/2002,Senate,,Iraq,R,1.551984,-2.719385,1.164941,0.496016,-1.211821,-1.706382,0.582028,0.9024,,Senator,37522,,,,9,23,2
264,Kyl,9/19/2011,Senate,,Iran,R,3.427664,-0.995968,0.830454,-4.817525,-2.173148,3.971497,-0.002531,-0.557224,,Senator,40805,,,,9,19,11
