ID #,Name,Date,Venue,State,Region,namest,Party,Honesty,Status,CatThink,ComplexThink,CogProcess,PsychDistance,Year,StartedCongress,YrsInCongress,WordCount
20,Blunt,3/17/2011,Senate,MO,Iran,BluntMO,R,7.075844,-1.815767,-0.796876,1.213579,0.258254,1.817667,2011,1997,14,913
21,Bond,1/29/1998,Senate,MO,Iraq,BondMO,R,0.949207,-0.107158,0.226853,0.585207,1.640437,1.826349,1998,1987,11,431
22,Bond,1/29/2003,Senate,MO,Iraq,BondMO,R,2.076162,-0.86711,-0.269558,-0.886838,0.544376,-0.460791,2003,1987,16,1941
23,Bond,10/9/2002,Senate,MO,Iraq,BondMO,R,4.032736,0.216304,-0.093799,-1.622823,0.778014,1.883299,2002,1987,15,951
24,Boxer,7/7/1998,Senate,CA,Iran,BoxerCA,D,2.383948,-3.281864,1.318831,-2.015503,-0.94327,-0.796057,1998,1993,5,267
25,Boxer,3/11/2004,Senate,CA,Iran,BoxerCA,D,-0.193949,-1.499002,3.691806,-1.904936,0.737577,4.048307,2004,1993,11,293
27,Brownback,2/13/2002,Senate,KS,Iraq,BrownbackKS,R,1.922062,-0.568183,0.534925,-3.825587,-1.313176,2.614589,2002,1996,6,352
28,Brownback,7/13/2006,Senate,KS,North Korea,BrownbackKS,R,-2.033932,-1.043994,0.351975,-3.882302,-1.612644,-0.465609,2006,1996,10,1465
29,Brownback,9/7/2006,Senate,KS,Iran,BrownbackKS,R,-4.359491,0.221613,0.777501,-5.534551,-0.357671,0.596962,2006,1996,10,737
30,Brownback,7/15/2002,Senate,KS,North Korea,BrownbackKS,R,2.075718,-0.694795,1.421831,-0.662629,-0.700325,2.121983,2002,1996,6,2104
32,Brownback,6/10/2003,Senate,KS,Iran,BrownbackKS,R,0.310327,-1.533064,-0.276742,-1.713615,-1.179087,0.001661,2003,1996,7,774
33,Brownback,3/1/2005,Senate,KS,Iraq,BrownbackKS,R,0.342456,-1.638518,0.804086,-5.313905,-1.929093,1.743628,2005,1996,9,429
36,Brownback,9/28/2004,Senate,KS,North Korea,BrownbackKS,R,-2.859709,-1.730504,-0.870406,-5.384922,-2.766852,0.886048,2004,1996,8,464
38,Brownback,9/24/2004,Senate,KS,North Korea,BrownbackKS,R,0.358912,-1.303883,2.282221,-1.80517,-0.691026,2.218285,2004,1996,8,1460
41,Byrd,1/29/2003,Senate,WV,Iraq,ByrdWV,D,2.469976,-1.832732,1.83647,-0.224537,-0.442912,1.860958,2003,1959,44,1765
42,Kennedy,1/29/2003,Senate,MA,Iraq,KennedyMA,D,1.837661,0.08265,-0.260342,-0.630166,0.011187,2.964379,2003,1962,41,2563
43,McCain,1/29/2003,Senate,AZ,Iraq,McCainAZ,R,4.482181,-1.321674,0.915474,2.912467,0.856461,2.128488,2003,1983,20,1540
44,Byrd,9/20/2002,Senate,WV,Iraq,ByrdWV,D,-0.280217,-0.840678,0.579325,-0.260099,0.650074,2.116123,2002,1959,43,2336
45,Byrd,9/26/2002,Senate,WV,Iraq,ByrdWV,D,4.542232,-0.945303,2.286927,-0.328599,0.333458,4.622493,2002,1959,43,2066
50,Casey,12/7/2011,Senate,PA,Iran,CaseyPA,D,-1.791815,-1.070923,2.019445,-3.703433,-0.038307,2.310327,2011,2007,4,766
51,Cleland,3/17/1998,Senate,GA,Iraq,ClelandGA,D,4.834573,-0.482024,3.933541,0.497437,0.816752,4.000703,1998,1997,1,3086
52,Akaka,10/1/1999,Senate,HI,North Korea,AkakaHI,R,2.389748,-1.046878,4.347397,-2.475493,-0.937926,5.278946,1999,1990,9,648
56,Biden,3/7/2001,Senate,DE,North Korea,BidenDE,D,2.732404,-0.741621,2.288859,-1.069494,-1.428256,3.447936,2001,1973,28,3268
58,Biden,9/22/2008,Senate,DE,North Korea,BidenDE,D,2.733587,-1.867008,2.571729,-0.388282,-1.037567,3.002788,2008,1973,35,760
