IDNO,Name,Title,Date,Venue,War,Region,Afghanistan,Iran,NorthKorea,Russia,Syria,Sudan,Kosovo,Libya,OpposeSupport,PartyAffiliation,Month,Day,Year,WC,WPS,Sixltr,Dic,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,AllPct,ZWC,ZWPS,ZSixltr,ZDic,Zfunct,Zpronoun,Zppron,Zi,Zwe,Zyou,Zshehe,Zthey,Zipron,Zarticle,Zverb,Zauxverb,Zpast,Zpresent,Zfuture,Zadverb,Zpreps,Zconj,Znegate,Zquant,Znumber,Zswear,Zsocial,Zfamily,Zfriend,Zhumans,Zaffect,Zposemo,Znegemo,Zanx,Zanger,Zsad,Zcogmech,Zinsight,Zcause,Zdiscrep,Ztentat,Zcertain,Zinhib,Zincl,Zexcl,Zpercept,Zsee,Zhear,Zfeel,Zbio,Zbody,Zhealth,Zsexual,Zingest,Zrelativ,Zmotion,Zspace,Ztime,Zwork,Zachieve,Zleisure,Zhome,Zmoney,Zrelig,Zdeath,PsychDistance,Honesty,Status,CatThink,ComplexThink,CogProcess
1223,Aderholt,Representative,10/9/2002,2,1,1,0,0,0,0,0,0,0,0,1,0,10,9,2,426,19.36,28.17,79.34,47.89,9.62,4.69,1.41,1.41,0.23,1.41,0.23,4.93,8.45,11.27,6.81,2.11,4.93,1.88,4.23,11.97,4.93,1.17,2.35,0.23,0,7.04,0,0.23,1.64,5.16,2.11,3.05,0.47,2.11,0.23,17.14,2.82,0.7,2.82,2.11,1.64,0.7,5.87,2.35,0.94,0.47,0.47,0,0.47,0,0,0,0.47,14.55,2.82,4.46,7.04,3.05,2.58,0.7,0.7,0.7,0.23,0.47,0.23,0,0.23,5.63,5.16,0,0,0,0,0.47,0,1.17,0,0,12.44,-0.431000615,0.167495412,-0.070813025,0.508419078,-0.231545519,-0.616738393,-0.682383767,-0.439090821,-0.667051326,-0.415758855,1.304623885,-0.713001591,-0.247456888,0.707150929,-0.166233006,-0.329747556,0.252070384,-0.82473941,0.722377284,0.879083858,-0.404463645,-0.232715888,0.004511956,0.421929266,-0.755039441,-0.152946216,-0.62510028,-0.35597421,0.103662097,0.291355274,-0.414217621,-0.752119281,0.165999099,0.033464651,0.399643217,-0.205997713,0.334235736,0.54416476,-1.296740704,1.270068853,0.213969631,0.285224622,-0.536634344,0.362197796,0.27219353,-0.405021274,0.400508242,-0.388925888,-0.713611743,-0.058165554,-0.694261308,-0.697571999,-0.332793442,2.59081927,1.240154696,1.260491294,-0.980174974,2.353413389,-0.01124444,-0.042666815,1.293470219,1.637652014,0.16623163,-0.018469664,-0.162422958,0.630099282,4.6255051,-0.643719359,0.398107264,-0.903288729,-0.752575944
1435,Armey,Representative,10/10/2002,2,1,1,0,0,0,0,0,0,0,0,1,0,10,10,2,1616,15.1,23.02,79.08,52.78,15.41,9.47,1.79,4.15,0.74,1.67,1.11,5.94,7.67,11.88,8.79,1.92,7.74,0.99,2.72,12.44,4.64,0.99,1.67,0.31,0,12.93,0.43,0.12,2.35,7.61,4.08,3.53,1.3,2.1,0,14.48,1.36,0.93,1.3,1.55,1.73,1.05,6.13,1.61,1.67,0.56,0.99,0.06,0.8,0.68,0.06,0,0.06,10.4,0.99,5.57,3.77,1.79,2.23,0.5,0.19,0.56,0.19,0.31,0.37,0.06,0.06,5.94,7.18,0,0.19,0.93,0,0.37,0,0.8,0.19,0,15.78,0.616751155,-0.726397048,-0.961457788,0.460587386,0.563879018,0.945792223,1.079251252,-0.178497858,1.097661706,-0.00412145,1.68912889,0.443407212,0.328499624,0.227196516,0.032169158,0.59092701,0.0849299,0.275573269,-0.374324263,-0.171872579,-0.152231506,-0.442485339,-0.216699081,-0.34873008,-0.600643456,-0.152946216,1.414635573,1.479552074,-0.26889747,1.006519098,0.798649073,0.654461246,0.46401219,1.651144314,0.391509068,-0.803033554,-0.522672591,-0.770402298,-1.023582655,-0.33566864,-0.285661627,0.40106328,-0.085409071,0.525794006,-0.407444265,0.43051822,0.634747989,0.340029225,-0.459691535,0.615990319,1.738021491,-0.494584211,-0.332793442,-0.002745462,-0.589634239,-0.988722336,-0.268968825,-0.033356188,-0.952719794,-0.325193703,0.687430741,-0.098700605,-0.028596869,-0.102977265,-0.396544273,-0.495668043,-6.566569475,1.272038114,-0.918661936,-4.112804692,-1.793984953
1458,Barrett,Representative,10/9/2002,2,1,1,0,0,0,0,0,0,0,0,0,0,10,9,2,765,19.62,32.55,71.11,43.01,9.28,6.27,1.05,4.05,0,1.05,0.13,3.01,9.02,7.32,5.23,0.65,4.05,1.83,2.75,10.59,5.36,1.05,2.09,0.26,0,7.71,0,0.13,0.26,8.76,4.18,4.44,0.39,3.66,0.26,18.04,1.83,3.14,2.61,1.18,1.83,1.44,6.8,1.18,1.18,0.39,0.39,0.39,0.39,0.13,0,0,0.26,12.42,1.31,8.5,2.35,1.44,4.44,0.13,0.13,0.52,0,1.18,0.26,0,0,7.71,5.23,0.13,0.13,0,0,0.39,0,0.78,0,0,14.38,-0.13252343,0.222052229,0.686667375,-1.00563794,-1.025343421,-0.708493213,-0.100085999,-0.685968365,1.03325612,-0.601399253,0.772232339,-0.844411682,-1.342344514,1.057886846,-1.450968329,-1.064427259,-1.032272283,-1.169321317,0.660764838,-0.15099265,-1.145060139,0.078321574,-0.142962069,0.127265399,-0.697140947,-0.152946216,-0.393075998,-0.35597421,-0.235028419,-1.098681454,1.367953848,0.725861273,1.028995342,-0.122456281,1.660436353,-0.128123473,0.624167124,-0.347219752,1.601109903,1.048223541,-0.615775136,0.5297729,0.417384805,0.947368855,-0.80236893,-0.130323358,0.192295134,-0.501072828,0.936869604,-0.221597281,-0.229266067,-0.697571999,-0.332793442,1.262408066,0.301010014,-0.59541722,1.608359116,-1.069812702,-1.214240725,1.458761787,-0.433742293,-0.302977383,-0.084262155,-0.504388368,0.876490376,2.551620361,-1.951010841,1.117825233,2.05046241,-0.3384359,1.253890151
1224,Bass,Representative,10/9/2002,2,1,1,0,0,0,0,0,0,0,0,1,0,10,9,2,288,20.57,34.38,79.86,47.92,11.81,7.29,2.43,3.82,0,1.04,0,4.51,6.6,10.07,6.25,0.69,7.64,1.04,1.04,14.93,3.47,0.35,3.47,0.69,0,8.33,0,0,1.74,9.03,6.6,2.43,0.35,1.04,0.35,19.79,4.51,3.47,0.69,1.04,2.78,2.43,4.86,1.04,1.39,0,1.39,0,0,0,0,0,0,11.46,2.43,5.21,3.82,3.47,5.21,0,1.04,0,0.35,0,0,0,0,5.21,4.17,0,0.35,0,0,0.35,0,1.04,0,0,11.11,-0.552504602,0.421394444,1.003148912,0.604082462,-0.226665614,-0.025729404,0.27582775,0.260395553,0.885123275,-0.601399253,0.757443685,-1.015244801,-0.486963556,-0.431202485,-0.556532344,-0.590140362,-0.997084812,0.236416234,-0.312711816,-1.341148615,1.184062169,-1.288796572,-1.003227215,1.691250541,0.132737469,-0.152946216,-0.178366961,-0.35597421,-0.675326089,0.392082573,1.501616708,2.45374192,-0.218934477,-0.200416746,-0.470710754,0.105499247,1.187922603,2.065821149,1.993032321,-0.980076449,-0.740682951,1.75251429,1.693707722,-0.273310559,-0.930949053,0.110037318,-0.822743771,0.900763928,-0.713611743,-1.018326949,-0.694261308,-0.697571999,-0.332793442,-0.38229152,-0.122266463,0.781150684,-0.499630279,0.003138759,0.302580677,2.080320939,-0.827667954,2.795220427,-0.807910866,0.235053138,-0.85015432,1.055211089,2.108368176,0.023328468,2.312540941,1.530585632,4.05885347
1451,Bilirakis,Representative,10/10/2002,2,1,1,0,0,0,0,0,0,0,0,1,0,10,10,2,395,19.75,31.9,75.7,47.09,11.14,5.57,1.77,2.03,0,1.77,0,5.57,5.32,13.16,8.35,1.77,8.35,0.76,2.53,12.66,4.56,2.03,2.03,0,0,5.82,0,0.25,0.51,10.38,5.32,5.06,1.27,3.04,0.25,16.46,3.04,3.29,1.77,0.76,1.52,1.52,4.56,1.77,1.27,0,0.76,0.51,0.25,0.25,0,0,0,10.13,1.52,3.8,4.3,1.52,2.03,0,0,0.25,0,0.25,0,0.25,0,6.33,4.05,0,0.25,0,0,0,0,0,0,0,10.63,-0.458294989,0.249330637,0.5742559,-0.161224609,-0.361676323,-0.206540373,-0.358066023,-0.192213277,-0.267736698,-0.601399253,1.83701543,-1.015244801,0.117505655,-1.218819982,0.448488453,0.386332662,-0.047023114,0.514431181,-0.657741517,-0.304112131,-0.034165398,-0.500352773,1.061409136,0.059266045,-1.198927895,-0.152946216,-1.047592256,-0.35597421,0.1714002,-0.846863206,2.169931009,1.539821578,1.413928918,1.592673965,1.156119099,-0.154081553,0.115176464,0.742250207,1.779256456,0.160842295,-0.99049858,0.130773078,0.520522011,-0.462075416,-0.260495553,-0.02731164,-0.822743771,0.017606772,1.444710019,-0.507602803,0.19996031,-0.697571999,-0.332793442,-0.38229152,-0.708680748,-0.337310738,-1.403054305,0.353490257,-1.154464512,-0.486637638,-0.827667954,-0.745577071,-0.460002832,-0.504388368,-0.484339766,-1.127624281,0.459776641,-0.676922674,-1.127217933,3.533473527,2.521506664
1330,Blunt,Representative,10/10/2002,2,1,1,0,0,0,0,0,0,0,0,1,0,10,10,2,304,12.67,34.87,76.64,44.41,12.5,7.24,3.29,3.29,0.66,0,0,5.26,5.59,11.84,7.24,0.33,8.22,1.64,3.29,11.84,1.32,0.99,1.97,0.33,0,9.54,0,0.99,1.32,5.59,3.62,1.97,0.33,1.32,0.33,19.74,4.61,1.32,2.3,0.99,1.64,4.93,3.29,1.64,0.99,0,0.99,0,0,0,0,0,0,15.46,4.61,6.58,4.93,2.3,1.32,0.66,0.33,0,0,0,0,0,0,7.89,3.62,0,0,0,0,1.32,0,0.33,0.33,0,13.82,-0.538417183,-1.236293451,1.08788987,0.011705354,-0.797614515,0.160478908,0.257400605,0.850158575,0.543773674,-0.068692023,-0.780576336,-1.015244801,-0.059273077,-1.052681916,0.01915918,-0.129803079,-1.313772045,0.463527036,0.426637541,0.224846076,-0.474229981,-2.84398388,-0.216699081,-0.008733309,-0.56204446,-0.152946216,0.240661967,-0.35597421,2.677710018,-0.030972083,-0.20134714,0.326021123,-0.504530356,-0.239396979,-0.242954574,0.053583087,1.171815303,2.155859989,-0.560401615,0.720737605,-0.785292885,0.285224622,4.916745389,-1.261179981,-0.379891382,-0.347792541,-0.822743771,0.340029225,-0.713611743,-1.018326949,-0.694261308,-0.697571999,-0.332793442,-0.38229152,1.641385523,3.460541784,0.378164697,0.813326598,-0.571646436,-1.05976361,1.172262323,0.377945212,-0.807910866,-0.504388368,-0.85015432,-1.999215263,2.748152508,-0.375076925,-0.458181208,-1.82022944,1.595458374
1462,Boehlert,Representative,10/9/2002,2,1,1,0,0,0,0,0,0,0,0,1,0,10,9,2,492,17.57,31.1,76.83,47.56,8.13,4.67,2.64,0.81,0,0.81,0.41,3.46,10.16,10.16,6.91,3.46,5.69,0,1.83,13.41,5.89,0.41,1.63,0.41,0.2,6.3,0,0.2,1.02,4.27,2.44,1.83,0,0.81,0.2,15.85,3.05,1.42,0.2,1.83,2.03,1.02,5.69,1.83,1.22,0.41,0.81,0,0.41,0.41,0,0.2,0,13.62,2.03,5.28,5.69,4.88,3.25,0.41,0.2,0,0.41,0,0,0,0.2,5.69,6.5,0.2,0.2,0.41,0,0.41,0,0.41,0,0,13.82,-0.372890013,-0.208107288,0.435903316,0.046659283,-0.285224476,-1.018840399,-0.689754625,0.404407454,-1.053484837,-0.601399253,0.417304642,-0.476463427,-1.085730227,1.759358679,-0.527259894,-0.28324884,1.439647506,-0.527145945,-1.594250703,-0.791310479,0.368332697,0.461693329,-0.929490203,-0.394062982,-0.407648476,4.340906177,-0.881365905,-0.35597421,0.002054942,-0.333153981,-0.854810012,-0.516499193,-0.591450841,-0.882570821,-0.657796187,-0.283871953,-0.081332588,0.751254091,-0.441637246,-1.49771551,-0.035845998,0.78719214,-0.124085523,0.248938881,-0.205389786,-0.084540372,0.244348411,0.087698609,-0.713611743,-0.180739349,0.772262145,-0.697571999,1.208953772,-0.38229152,0.830105609,0.28951929,-0.454779441,1.368049802,1.35613643,0.498170369,0.414712976,-0.064654475,-0.807910866,0.361814539,-0.85015432,3.815715995,7.880040294,-2.059291544,3.090854585,-0.820615984,0.309616845
1225,Boehner,Representative,10/9/2002,2,1,1,0,0,0,0,0,0,0,0,1,0,10,9,2,595,22.88,26.72,79.5,50.92,12.61,7.23,2.52,3.53,0,1.18,0,5.38,7.9,9.58,6.05,1.01,6.39,0.84,2.52,14.12,5.88,1.51,1.34,1.18,0,8.24,0,0.17,1.34,7.56,4.03,3.36,0.84,2.02,0,17.31,2.52,2.69,1.68,1.01,1.85,1.18,5.04,2.52,1.68,0.34,1.34,0,0.67,0.67,0,0,0,11.6,1.51,4.87,4.87,2.18,3.53,0,0.67,0.17,0.34,0.17,0,0,0,4.37,4.37,0,0,0.5,0,0,0,2.69,0,0,11.93,-0.282202255,0.906110778,-0.321577085,0.537853965,0.261324899,0.190164291,0.253715176,0.32211494,0.698347078,-0.601399253,0.964484842,-1.015244801,0.0091574,0.368721535,-0.715904574,-0.683137793,-0.71558505,-0.253046702,-0.559161602,-0.311072107,0.749364227,0.4544599,0.422355027,-0.722726527,1.078412872,-0.152946216,-0.209534401,-0.35597421,-0.099552212,-0.010826623,0.773896691,0.618761233,0.358465887,0.754598959,0.326435874,-0.803033554,0.389000554,0.274048241,1.066670242,0.065765733,-0.767448911,0.555514824,0.082188888,-0.160051644,0.428326537,0.441963966,0.062161941,0.83067209,-0.713611743,0.350413763,1.702252626,-0.697571999,-0.332793442,-0.38229152,-0.060538643,-0.349601523,-0.717477207,0.76953266,-0.661310756,0.724191879,-0.827667954,1.535513625,-0.571333403,0.213926238,-0.601400423,-0.087689521,2.600663736,-0.225167114,1.512413252,3.712022369,1.340718483
1338,Boehner,Representative,10/10/2002,2,1,1,0,0,0,0,0,0,0,0,1,0,10,10,2,432,24,25.46,78.47,50.23,9.72,6.48,1.62,3.94,0,0.23,0.69,3.24,11.57,13.66,6.94,2.08,9.03,0.93,2.55,13.43,4.86,0.46,1.39,0.23,0,8.1,0,0.23,0.93,4.17,3.01,1.16,0.23,0.69,0.23,18.98,2.08,2.08,1.16,2.31,1.39,3.01,6.94,1.85,0.69,0,0.69,0,0.23,0.23,0,0,0,16.2,5.32,6.02,4.4,4.63,5.56,0,0,0,0,0.23,0.23,0,0,6.94,6.02,0.23,0,0.23,0,0,0,0.46,0.23,0,14.35,-0.425717833,1.141124758,-0.539482406,0.348366878,0.149087081,-0.589751681,-0.022691992,-0.295078921,0.962409977,-0.601399253,-0.440437293,-0.108515171,-1.2111861,2.626968578,0.611113178,-0.269299226,0.225679781,0.780699018,-0.448259199,-0.290192178,0.37906598,-0.283349893,-0.868042692,-0.666060398,-0.755039441,-0.152946216,-0.258017087,-0.35597421,0.103662097,-0.42380855,-0.904314775,-0.10951904,-1.007427448,-0.434298144,-0.755405978,-0.205997713,0.926984353,-0.122122653,0.34220759,-0.483565514,0.392409366,-0.036549428,2.441452461,1.035459122,-0.187021197,-0.691164936,-0.822743771,-0.080521801,-0.713611743,-0.548460735,0.12842258,-0.697571999,-0.332793442,-0.38229152,1.96766114,4.33318751,0.019357992,0.426480152,1.169335765,2.362847826,-0.827667954,-0.745577071,-0.807910866,-0.504388368,-0.51360493,2.085431589,7.137424346,0.656089645,1.855438975,-1.012663208,0.220084937
1463,Bonilla,Representative,10/9/2002,2,1,1,0,0,0,0,0,0,0,0,1,0,10,9,2,489,16.86,32.52,74.85,47.24,11.86,7.98,0.41,5.73,0,1.84,0,3.89,6.75,11.45,7.98,2.25,7.98,0.61,1.84,9.2,5.52,2.25,1.64,1.64,0,10.02,0.41,0.2,0.2,7.98,2.86,5.11,1.23,3.68,0.2,17.38,1.64,1.02,2.04,2.25,1.64,2.25,5.93,2.25,1.23,0.82,0.41,0,0.61,0.41,0.2,0,0,11.45,1.43,3.68,5.32,1.64,3.07,0,0,0,0,1.02,0,0,0,5.93,2.25,0,0.2,0,0,0,0,1.23,0,0,9.61,-0.375531404,-0.357089365,0.681479153,-0.317597448,-0.337276797,-0.012236048,0.530122345,-1.124861777,2.11526995,-0.601399253,1.940536009,-1.015244801,-0.840521019,-0.33890356,-0.107688105,0.214287415,0.37522653,0.369550152,-0.842578856,-0.784350503,-1.891023275,0.194056443,1.331778182,-0.382729757,1.966189782,-0.152946216,0.406888318,1.394178758,0.002054942,-1.159117834,0.981816696,-0.21661908,1.444971949,1.514713499,1.676704652,-0.283871953,0.411550773,-0.518293547,-0.916694723,0.446071982,0.338877445,0.285224622,1.46164901,0.399950767,0.180350584,-0.073094625,1.311440593,-0.473036093,-0.713611743,0.227839968,0.772262145,-0.020946038,-0.332793442,-0.38229152,-0.126675593,-0.447927802,-1.479941456,1.097987189,-1.064800193,0.352870827,-0.827667954,-0.745577071,-0.807910866,-0.504388368,0.642369061,0.651815237,0.511279931,2.638732474,-1.440759577,-0.485843192,-1.43498827
