"","ID","Region","Name","Party","Date","Venue","Foundation","Reference","Coverage"
"4",1456,"Iraq","Abercrombie",1,"10/9/2002","House","Ingroup",2,0.0189
"8",1788,"Iran","Ackerman",1,"9/28/2006","House","Ingroup",2,0.0284
"11",1874,"North Korea","Ackerman",1,"11/15/2006","House Hearings","Ingroup",1,0.0287
"12",1386,"Iran","Ackerman",1,"3/6/2007","House Hearings","Ingroup",2,0.0187
"17",1771,"Iran","Ackerman",1,"9/26/2008","House","Ingroup",2,0.0344
"24",944,"Iran","Ackerman",1,"7/27/2011","House Hearings","Ingroup",3,0.0253
"27",904,"Iran","Ackerman",1,"10/14/2011","House Hearings","Ingroup",1,0.0104
"30",978,"North Korea","Ackerman",1,"10/13/1999","House Hearings","Ingroup",1,0.0043
"38",1995,"Afghanistan","AllenME",1,"6/26/2002","Senate Hearings","Ingroup",2,0.0271
"41",1337,"Iraq","AllenME",1,"10/10/2002","House","Ingroup",2,0.038
"47",460,"Iran","Andrews",1,"3/3/2004","House","Ingroup",8,0.0121
"52",691,"Iran","Andrews",1,"6/8/2005","House","Ingroup",3,0.0085
"54",541,"Sudan","Andrews",1,"4/5/2006","House","Ingroup",3,0.0601
"57",459,"Iran","Andrews",1,"2/8/2007","House","Ingroup",1,0.0126
"60",1057,"Libya","Andrews",1,"6/24/2011","House","Ingroup",1,0.0325
"64",461,"Iran","Andrews",1,"11/11/2011","House","Ingroup",12,0.0405
"68",1622,"Afghanistan","Baca",1,"9/14/2001","House","Ingroup",1,0.0424
"78",1339,"Iraq","Baldacci",1,"10/10/2002","House","Ingroup",1,0.0136
"82",1754,"Afghanistan","Baldwin",1,"9/14/2001","House","Ingroup",1,0.0393
"86",741,"Iraq","Baldwin",1,"3/6/2003","House","Ingroup",2,0.0486
"88",482,"Iraq","Baucus",1,"10/10/2002","Senate","Ingroup",1,0.0296
"92",369,"Iraq","Bayh",1,"10/8/2002","Senate","Ingroup",1,0.0036
"94",1624,"Afghanistan","Becerra",1,"9/14/2001","House","Ingroup",2,0.1116
"97",1459,"Iraq","Becerra",1,"10/9/2002","House","Ingroup",1,0.01
"105",1593,"Afghanistan","Berkley",1,"9/14/2001","House","Ingroup",1,0.0433
"121",1377,"Iran","Berman",1,"3/15/2007","House Hearings","Ingroup",2,0.0081
"124",1142,"Iran","Berman",1,"7/9/2008","House Hearings","Ingroup",8,0.0283
"126",1768,"Iran","Berman",1,"9/26/2008","House","Ingroup",1,0.0101
"130",1944,"Russia","Berman",1,"11/9/2008","House Hearings","Ingroup",6,0.013
"135",1141,"Libya","Berman",1,"3/31/2011","House Hearings","Ingroup",2,0.0126
"140",997,"Libya","Berman",1,"6/3/2011","House","Ingroup",2,0.0088
"144",1067,"Libya","Berman",1,"6/24/2011","House","Ingroup",1,0.0107
"148",1965,"Russia","Berman",1,"7/7/2011","House Hearings","Ingroup",1,0.0084
"152",13,"Iran","Berman",1,"10/14/2011","House Hearings","Ingroup",2,0.0151
"157",1913,"Russia","Berman",1,"10/6/1999","House Hearings","Ingroup",3,0.0389
"165",2162,"Iraq","Biden",1,"3/22/2000","Senate Hearings","Ingroup",3,0.0137
"169",56,"North Korea","Biden",1,"3/7/2001","Senate","Ingroup",6,0.0176
"173",2292,"North Korea","Biden",1,"5/23/2001","Senate Hearings","Ingroup",2,0.0143
"177",12,"Afghanistan","Biden",1,"10/3/2001","Senate","Ingroup",1,0.0035
"182",1985,"Afghanistan","Biden",1,"12/6/2001","Senate Hearings","Ingroup",10,0.015
"187",1997,"Afghanistan","Biden",1,"6/26/2002","Senate Hearings","Ingroup",4,0.0146
"191",2182,"Iraq","Biden",1,"7/31/2002","Senate Hearings","Ingroup",21,0.0117
"200",405,"Iraq","Biden",1,"10/10/2002","Senate","Ingroup",1,0.0013
"203",10,"Iraq","Biden",1,"1/17/2003","Senate","Ingroup",1,0.0198
"204",9,"North Korea","Biden",1,"1/17/2003","Senate","Ingroup",2,0.0275
"208",11,"Iraq","Biden",1,"1/28/2003","Senate","Ingroup",2,0.0061
"213",2341,"North Korea","Biden",1,"2/4/2003","Senate Hearings","Ingroup",4,0.0096
"218",8,"North Korea","Biden",1,"2/6/2003","Senate","Ingroup",1,0.0026
"223",2392,"North Korea","Biden",1,"3/6/2003","Senate Hearings","Ingroup",1,0.0022
"227",2032,"Iran","Biden",1,"10/28/2003","Senate Hearings","Ingroup",1,0.0029
"231",2006,"Syria","Biden",1,"10/30/2003","Senate Hearings","Ingroup",1,0.0024
"237",19,"Russia","Biden",1,"6/17/2004","Senate","Ingroup",1,0.0069
"241",2357,"North Korea","Biden",1,"7/15/2004","Senate Hearings","Ingroup",3,0.0112
"244",18,"Iran","Biden",1,"7/22/2004","Senate","Ingroup",1,0.0087
"249",2469,"Sudan","Biden",1,"9/9/2004","Senate Hearings","Ingroup",2,0.0095
"253",2017,"Iran","Biden",1,"3/2/2006","Senate Hearings","Ingroup",1,0.008
"261",2408,"Sudan","Biden",1,"4/11/2007","Senate Hearings","Ingroup",6,0.0168
"267",2294,"Russia","Biden",1,"6/21/2007","Senate Hearings","Ingroup",4,0.0193
"271",2433,"Sudan","Biden",1,"4/23/2008","Senate Hearings","Ingroup",5,0.0115
"276",2044,"Iran","Biden",1,"7/9/2008","Senate Hearings","Ingroup",7,0.0212
"280",58,"North Korea","Biden",1,"9/22/2008","Senate","Ingroup",2,0.0243
"283",188,"Iraq","Biden",1,"2/12/1998","Senate","Ingroup",2,0.0087
"287",55,"Kosovo","Biden",1,"3/6/1998","Senate","Ingroup",1,0.0166
"291",2148,"Kosovo","Biden",1,"5/6/1998","Senate Hearings","Ingroup",6,0.0201
"295",334,"Iran","Biden",1,"5/22/1998","Senate","Ingroup",5,0.0135
"300",54,"Kosovo","Biden",1,"6/17/1998","Senate","Ingroup",6,0.0236
"304",2155,"Kosovo","Biden",1,"6/24/1998","Senate Hearings","Ingroup",1,0.0054
"308",57,"Kosovo","Biden",1,"10/14/1998","Senate","Ingroup",5,0.0192
"312",247,"Kosovo","Biden",1,"3/22/1999","Senate","Ingroup",8,0.0111
"316",289,"Kosovo","Biden",1,"3/23/1999","Senate","Ingroup",1,0.0051
"319",413,"Iraq","Bingaman",1,"10/10/2002","Senate","Ingroup",1,0.0113
"327",1327,"Iraq","Blumenauer",1,"10/10/2002","House","Ingroup",1,0.0404
"332",1893,"Sudan","Blumenauer",1,"6/22/2005","House Hearings","Ingroup",1,0.0525
"333",566,"Sudan","Blumenauer",1,"12/8/2005","House","Ingroup",1,0.0602
"336",1830,"Sudan","Blumenauer",1,"5/18/2006","House Hearings","Ingroup",3,0.1086
"341",1112,"Kosovo","Bonior",1,"3/17/1998","House","Ingroup",2,0.0546
"344",1719,"Afghanistan","Bonior",1,"9/14/2001","House","Ingroup",2,0.0782
"349",1609,"North Korea","Bordallo",1,"9/29/2006","House","Ingroup",3,0.0655
"356",1226,"Iraq","Borski",1,"10/9/2002","House","Ingroup",3,0.0317
"360",1465,"Iraq","Boswell",1,"10/9/2002","House","Ingroup",4,0.0397
"367",1998,"Afghanistan","Boxer",1,"6/26/2002","Senate Hearings","Ingroup",4,0.0417
"371",427,"Iraq","Boxer",1,"10/10/2002","Senate","Ingroup",2,0.0198
"374",2008,"Syria","Boxer",1,"10/30/2003","Senate Hearings","Ingroup",1,0.0121
"377",344,"Syria","Boxer",1,"11/11/2003","Senate","Ingroup",2,0.0172
"380",25,"Iran","Boxer",1,"3/11/2004","Senate","Ingroup",1,0.033
"384",2233,"Syria","Boxer",1,"11/9/2011","House Hearings","Ingroup",1,0.0114
"385",24,"Iran","Boxer",1,"7/7/1998","Senate","Ingroup",1,0.0235
"389",1616,"Afghanistan","BrownFL",1,"9/14/2001","House","Ingroup",1,0.0819
"393",1228,"Iraq","BrownFL",1,"10/9/2002","House","Ingroup",3,0.0186
