"","ID","Region","Name","Party","Date","Venue","Foundation","Reference","Coverage"
"2",1456,"Iraq","Abercrombie",1,"10/9/2002","House","Fairness",1,0.008
"22",944,"Iran","Ackerman",1,"7/27/2011","House Hearings","Fairness",1,0.0081
"26",904,"Iran","Ackerman",1,"10/14/2011","House Hearings","Fairness",3,0.0368
"29",978,"North Korea","Ackerman",1,"10/13/1999","House Hearings","Fairness",2,0.0084
"32",1984,"Afghanistan","AllenME",1,"12/6/2001","Senate Hearings","Fairness",5,0.0787
"36",1995,"Afghanistan","AllenME",1,"6/26/2002","Senate Hearings","Fairness",5,0.0849
"39",1337,"Iraq","AllenME",1,"10/10/2002","House","Fairness",1,0.0161
"45",460,"Iran","Andrews",1,"3/3/2004","House","Fairness",3,0.004
"50",691,"Iran","Andrews",1,"6/8/2005","House","Fairness",1,0.0031
"62",461,"Iran","Andrews",1,"11/11/2011","House","Fairness",2,0.0073
"71",1457,"Iraq","Baird",1,"10/9/2002","House","Fairness",1,0.0131
"80",1754,"Afghanistan","Baldwin",1,"9/14/2001","House","Fairness",4,0.1026
"90",369,"Iraq","Bayh",1,"10/8/2002","Senate","Fairness",2,0.0088
"100",6,"Syria","Begich",1,"8/1/2013","Senate","Fairness",2,0.0179
"103",1593,"Afghanistan","Berkley",1,"9/14/2001","House","Fairness",1,0.0427
"112",1192,"Russia","Berman",1,"9/27/2000","House Hearings","Fairness",1,0.0239
"114",1812,"Russia","Berman",1,"9/27/2000","House Hearings","Fairness",1,0.0249
"119",1377,"Iran","Berman",1,"3/15/2007","House Hearings","Fairness",3,0.0084
"123",1142,"Iran","Berman",1,"7/9/2008","House Hearings","Fairness",1,0.0045
"128",1944,"Russia","Berman",1,"11/9/2008","House Hearings","Fairness",4,0.0082
"132",1601,"Iran","Berman",1,"10/13/2009","House","Fairness",1,0.0433
"142",1067,"Libya","Berman",1,"6/24/2011","House","Fairness",2,0.0221
"146",1965,"Russia","Berman",1,"7/7/2011","House Hearings","Fairness",4,0.0313
"150",13,"Iran","Berman",1,"10/14/2011","House Hearings","Fairness",1,0.0062
"162",2276,"Russia","Biden",1,"3/1/2000","Senate Hearings","Fairness",1,0.0111
"167",56,"North Korea","Biden",1,"3/7/2001","Senate","Fairness",1,0.0029
"175",12,"Afghanistan","Biden",1,"10/3/2001","Senate","Fairness",6,0.0209
"180",1985,"Afghanistan","Biden",1,"12/6/2001","Senate Hearings","Fairness",2,0.0029
"185",1997,"Afghanistan","Biden",1,"6/26/2002","Senate Hearings","Fairness",2,0.0058
"189",2182,"Iraq","Biden",1,"7/31/2002","Senate Hearings","Fairness",10,0.0051
"194",517,"Iraq","Biden",1,"10/9/2002","Senate","Fairness",1,0.005
"198",405,"Iraq","Biden",1,"10/10/2002","Senate","Fairness",4,0.0042
"206",11,"Iraq","Biden",1,"1/28/2003","Senate","Fairness",3,0.0078
"211",2341,"North Korea","Biden",1,"2/4/2003","Senate Hearings","Fairness",5,0.012
"216",8,"North Korea","Biden",1,"2/6/2003","Senate","Fairness",5,0.0141
"221",2392,"North Korea","Biden",1,"3/6/2003","Senate Hearings","Fairness",2,0.0052
"225",2032,"Iran","Biden",1,"10/28/2003","Senate Hearings","Fairness",1,0.0036
"229",2006,"Syria","Biden",1,"10/30/2003","Senate Hearings","Fairness",6,0.0162
"232",2137,"Sudan","Biden",1,"6/15/2004","Senate Hearings","Fairness",1,0.0162
"235",19,"Russia","Biden",1,"6/17/2004","Senate","Fairness",4,0.0393
"240",2357,"North Korea","Biden",1,"7/15/2004","Senate Hearings","Fairness",4,0.0137
"247",2469,"Sudan","Biden",1,"9/9/2004","Senate Hearings","Fairness",2,0.0154
"255",2050,"Iran","Biden",1,"3/29/2007","Senate Hearings","Fairness",4,0.0206
"259",2408,"Sudan","Biden",1,"4/11/2007","Senate Hearings","Fairness",2,0.0047
"265",2294,"Russia","Biden",1,"6/21/2007","Senate Hearings","Fairness",2,0.0082
"269",2433,"Sudan","Biden",1,"4/23/2008","Senate Hearings","Fairness",3,0.0072
"274",2044,"Iran","Biden",1,"7/9/2008","Senate Hearings","Fairness",3,0.011
"278",58,"North Korea","Biden",1,"9/22/2008","Senate","Fairness",12,0.1486
"285",55,"Kosovo","Biden",1,"3/6/1998","Senate","Fairness",1,0.0191
"289",2148,"Kosovo","Biden",1,"5/6/1998","Senate Hearings","Fairness",3,0.0093
"293",334,"Iran","Biden",1,"5/22/1998","Senate","Fairness",4,0.0117
"298",54,"Kosovo","Biden",1,"6/17/1998","Senate","Fairness",3,0.0112
"306",57,"Kosovo","Biden",1,"10/14/1998","Senate","Fairness",1,0.0035
"310",247,"Kosovo","Biden",1,"3/22/1999","Senate","Fairness",6,0.0086
"314",289,"Kosovo","Biden",1,"3/23/1999","Senate","Fairness",3,0.0213
"323",1564,"Afghanistan","Blumenauer",1,"9/14/2001","House","Fairness",1,0.032
"331",1100,"Syria","Blumenauer",1,"3/16/2005","House","Fairness",2,0.0243
"338",1776,"Iran","Blumenauer",1,"9/28/2006","House","Fairness",2,0.0205
"343",1719,"Afghanistan","Bonior",1,"9/14/2001","House","Fairness",1,0.0277
"345",567,"Kosovo","Bonior",1,"3/10/1998","House","Fairness",1,0.0311
"348",1609,"North Korea","Bordallo",1,"9/29/2006","House","Fairness",2,0.0457
"351",1739,"Afghanistan","Borski",1,"9/14/2001","House","Fairness",2,0.0346
"354",1226,"Iraq","Borski",1,"10/9/2002","House","Fairness",1,0.0099
"358",1465,"Iraq","Boswell",1,"10/9/2002","House","Fairness",1,0.0106
"362",2493,"Sudan","Boxer",1,"6/11/2002","Senate Hearings","Fairness",4,0.1333
"365",1998,"Afghanistan","Boxer",1,"6/26/2002","Senate Hearings","Fairness",1,0.0095
"379",25,"Iran","Boxer",1,"3/11/2004","Senate","Fairness",1,0.033
"391",1228,"Iraq","BrownFL",1,"10/9/2002","House","Fairness",2,0.0103
"395",1325,"Iraq","BrownFL",1,"10/10/2002","House","Fairness",1,0.0118
"411",44,"Iraq","Byrd",1,"9/20/2002","Senate","Fairness",2,0.0083
"415",45,"Iraq","Byrd",1,"9/26/2002","Senate","Fairness",1,0.0044
"422",371,"Iraq","Byrd",1,"10/8/2002","Senate","Fairness",1,0.0036
"427",406,"Iraq","Byrd",1,"10/10/2002","Senate","Fairness",1,0.0007
"438",64,"Kosovo","Byrd",1,"10/14/1998","Senate","Fairness",1,0.0054
"442",477,"Iraq","Cantwell",1,"10/10/2002","Senate","Fairness",2,0.0077
"446",1231,"Iraq","Capuano",1,"10/9/2002","House","Fairness",3,0.0335
"451",537,"Sudan","Capuano",1,"4/5/2006","House","Fairness",2,0.0733
"456",1700,"Afghanistan","Cardin",1,"9/14/2001","House","Fairness",1,0.0269
"461",1470,"Iraq","Cardin",1,"10/9/2002","House","Fairness",1,0.014
"471",2384,"North Korea","Cardin",1,"6/11/2009","Senate Hearings","Fairness",6,0.1319
"474",2080,"Iran","Cardin",1,"6/22/2010","Senate Hearings","Fairness",1,0.0182
"480",46,"Russia","Cardin",1,"2/16/2012","Senate","Fairness",16,0.0936
"485",203,"Syria","Cardin",1,"2/26/2012","Senate","Fairness",3,0.023
"493",2116,"Iran","Cardin",1,"7/25/2012","Senate Hearings","Fairness",1,0.021
"495",2315,"North Korea","Cardin",1,"3/7/2013","Senate Hearings","Fairness",2,0.0525
"498",472,"Iraq ","Carper",1,"10/10/2002","Senate","Fairness",1,0.0036
"511",2385,"North Korea","Casey",1,"6/11/2009","Senate Hearings","Fairness",1,0.0266
"514",2081,"Iran","Casey",1,"6/22/2010","Senate Hearings","Fairness",1,0.0176
