"","ID","Region","Name","Party","Date","Venue","Foundation","Reference","Coverage"
"1",1456,"Iraq","Abercrombie",1,"10/9/2002","House","Authority",2,0.0201
"7",1788,"Iran","Ackerman",1,"9/28/2006","House","Authority",1,0.0148
"9",1874,"North Korea","Ackerman",1,"11/15/2006","House Hearings","Authority",1,0.0237
"13",1140,"Iran","Ackerman",1,"7/9/2008","House Hearings","Authority",3,0.0297
"18",1139,"Libya","Ackerman",1,"3/31/2011","House Hearings","Authority",1,0.0101
"21",944,"Iran","Ackerman",1,"7/27/2011","House Hearings","Authority",3,0.0268
"25",904,"Iran","Ackerman",1,"10/14/2011","House Hearings","Authority",3,0.0368
"28",978,"North Korea","Ackerman",1,"10/13/1999","House Hearings","Authority",2,0.0076
"35",1995,"Afghanistan","AllenME",1,"6/26/2002","Senate Hearings","Authority",3,0.0479
"42",1675,"Afghanistan","Andrews",1,"9/14/2001","House","Authority",1,0.0844
"44",460,"Iran","Andrews",1,"3/3/2004","House","Authority",14,0.0229
"49",691,"Iran","Andrews",1,"6/8/2005","House","Authority",4,0.0123
"55",459,"Iran","Andrews",1,"2/8/2007","House","Authority",5,0.0762
"58",1057,"Libya","Andrews",1,"6/24/2011","House","Authority",2,0.066
"61",461,"Iran","Andrews",1,"11/11/2011","House","Authority",3,0.0097
"66",1622,"Afghanistan","Baca",1,"9/14/2001","House","Authority",2,0.1064
"70",1457,"Iraq","Baird",1,"10/9/2002","House","Authority",3,0.0343
"73",1749,"Afghanistan","Baldacci",1,"9/14/2001","House","Authority",1,0.0508
"76",1339,"Iraq","Baldacci",1,"10/10/2002","House","Authority",1,0.0202
"79",1754,"Afghanistan","Baldwin",1,"9/14/2001","House","Authority",1,0.0367
"84",741,"Iraq","Baldwin",1,"3/6/2003","House","Authority",1,0.0146
"87",482,"Iraq","Baucus",1,"10/10/2002","Senate","Authority",1,0.0238
"89",369,"Iraq","Bayh",1,"10/8/2002","Senate","Authority",2,0.009
"95",1459,"Iraq","Becerra",1,"10/9/2002","House","Authority",3,0.0355
"99",6,"Syria","Begich",1,"8/1/2013","Senate","Authority",4,0.03
"108",564,"Iran","Berkley",1,"4/14/2010","House","Authority",1,0.0393
"109",1362,"Iraq","Berman",1,"3/23/2000","House Hearings","Authority",1,0.0225
"111",1192,"Russia","Berman",1,"9/27/2000","House Hearings","Authority",2,0.0333
"113",1812,"Russia","Berman",1,"9/27/2000","House Hearings","Authority",2,0.0348
"118",1377,"Iran","Berman",1,"3/15/2007","House Hearings","Authority",2,0.0053
"122",1142,"Iran","Berman",1,"7/9/2008","House Hearings","Authority",4,0.0141
"125",1768,"Iran","Berman",1,"9/26/2008","House","Authority",1,0.0131
"127",1944,"Russia","Berman",1,"11/9/2008","House Hearings","Authority",7,0.0156
"133",1141,"Libya","Berman",1,"3/31/2011","House Hearings","Authority",3,0.016
"136",1272,"Libya","Berman",1,"5/25/2011","House Hearings","Authority",3,0.0182
"138",997,"Libya","Berman",1,"6/3/2011","House","Authority",6,0.0289
"141",1067,"Libya","Berman",1,"6/24/2011","House","Authority",2,0.0275
"145",1965,"Russia","Berman",1,"7/7/2011","House Hearings","Authority",5,0.0389
"149",13,"Iran","Berman",1,"10/14/2011","House Hearings","Authority",4,0.0274
"154",905,"Iran","Berman",1,"10/14/2011","House Hearings","Authority",1,0.0222
"155",1846,"Russia","Berman",1,"5/12/1999","House Hearings","Authority",2,0.0407
"156",1913,"Russia","Berman",1,"10/6/1999","House Hearings","Authority",4,0.052
"158",194,"Iran","Biden",1,"2/22/2000","Senate","Authority",4,0.021
"161",2276,"Russia","Biden",1,"3/1/2000","Senate Hearings","Authority",1,0.0087
"164",2162,"Iraq","Biden",1,"3/22/2000","Senate Hearings","Authority",5,0.0245
"166",56,"North Korea","Biden",1,"3/7/2001","Senate","Authority",3,0.0075
"171",2292,"North Korea","Biden",1,"5/23/2001","Senate Hearings","Authority",3,0.0331
"174",12,"Afghanistan","Biden",1,"10/3/2001","Senate","Authority",4,0.0138
"179",1985,"Afghanistan","Biden",1,"12/6/2001","Senate Hearings","Authority",11,0.0167
"184",1997,"Afghanistan","Biden",1,"6/26/2002","Senate Hearings","Authority",5,0.0145
"188",2182,"Iraq","Biden",1,"7/31/2002","Senate Hearings","Authority",18,0.0095
"193",517,"Iraq","Biden",1,"10/9/2002","Senate","Authority",4,0.0261
"197",405,"Iraq","Biden",1,"10/10/2002","Senate","Authority",8,0.0096
"205",11,"Iraq","Biden",1,"1/28/2003","Senate","Authority",5,0.0187
"210",2341,"North Korea","Biden",1,"2/4/2003","Senate Hearings","Authority",3,0.0063
"215",8,"North Korea","Biden",1,"2/6/2003","Senate","Authority",9,0.0223
"220",2392,"North Korea","Biden",1,"3/6/2003","Senate Hearings","Authority",10,0.0235
"224",2032,"Iran","Biden",1,"10/28/2003","Senate Hearings","Authority",3,0.0084
"228",2006,"Syria","Biden",1,"10/30/2003","Senate Hearings","Authority",2,0.0055
"234",19,"Russia","Biden",1,"6/17/2004","Senate","Authority",2,0.0187
"239",2357,"North Korea","Biden",1,"7/15/2004","Senate Hearings","Authority",7,0.0258
"242",18,"Iran","Biden",1,"7/22/2004","Senate","Authority",1,0.0081
"246",2469,"Sudan","Biden",1,"9/9/2004","Senate Hearings","Authority",5,0.0257
"250",2477,"Sudan","Biden",1,"9/28/2005","Senate Hearings","Authority",1,0.0035
"252",2017,"Iran","Biden",1,"3/2/2006","Senate Hearings","Authority",2,0.0158
"254",2050,"Iran","Biden",1,"3/29/2007","Senate Hearings","Authority",8,0.0379
"258",2408,"Sudan","Biden",1,"4/11/2007","Senate Hearings","Authority",4,0.0108
"264",2294,"Russia","Biden",1,"6/21/2007","Senate Hearings","Authority",7,0.0283
"268",2433,"Sudan","Biden",1,"4/23/2008","Senate Hearings","Authority",10,0.02
"273",2044,"Iran","Biden",1,"7/9/2008","Senate Hearings","Authority",8,0.0248
"277",58,"North Korea","Biden",1,"9/22/2008","Senate","Authority",2,0.0272
"281",188,"Iraq","Biden",1,"2/12/1998","Senate","Authority",8,0.044
"284",55,"Kosovo","Biden",1,"3/6/1998","Senate","Authority",1,0.0177
"288",2148,"Kosovo","Biden",1,"5/6/1998","Senate Hearings","Authority",3,0.0088
"292",334,"Iran","Biden",1,"5/22/1998","Senate","Authority",10,0.0304
"297",54,"Kosovo","Biden",1,"6/17/1998","Senate","Authority",8,0.03
"302",2155,"Kosovo","Biden",1,"6/24/1998","Senate Hearings","Authority",3,0.0149
"305",57,"Kosovo","Biden",1,"10/14/1998","Senate","Authority",4,0.0157
"309",247,"Kosovo","Biden",1,"3/22/1999","Senate","Authority",14,0.0215
"313",289,"Kosovo","Biden",1,"3/23/1999","Senate","Authority",2,0.0115
"317",413,"Iraq","Bingaman",1,"10/10/2002","Senate","Authority",1,0.0092
"325",1327,"Iraq","Blumenauer",1,"10/10/2002","House","Authority",1,0.0307
"330",1100,"Syria","Blumenauer",1,"3/16/2005","House","Authority",2,0.0238
"334",713,"Iran","Blumenauer",1,"4/26/2006","House","Authority",2,0.0162
"337",1776,"Iran","Blumenauer",1,"9/28/2006","House","Authority",1,0.0095
"347",1609,"North Korea","Bordallo",1,"9/29/2006","House","Authority",1,0.0186
"350",1739,"Afghanistan","Borski",1,"9/14/2001","House","Authority",1,0.0195
"353",1226,"Iraq","Borski",1,"10/9/2002","House","Authority",2,0.0204
"357",1465,"Iraq","Boswell",1,"10/9/2002","House","Authority",2,0.0192
"361",2493,"Sudan","Boxer",1,"6/11/2002","Senate Hearings","Authority",2,0.0711
"364",1998,"Afghanistan","Boxer",1,"6/26/2002","Senate Hearings","Authority",1,0.0104
"369",427,"Iraq","Boxer",1,"10/10/2002","Senate","Authority",1,0.0096
"372",2008,"Syria","Boxer",1,"10/30/2003","Senate Hearings","Authority",1,0.0147
"375",344,"Syria","Boxer",1,"11/11/2003","Senate","Authority",5,0.052
"381",2473,"Sudan","Boxer",1,"9/9/2004","Senate Hearings","Authority",2,0.0231
"386",1227,"Iraq","Boyd",1,"10/9/2002","House","Authority",1,0.0249
"390",1228,"Iraq","BrownFL",1,"10/9/2002","House","Authority",3,0.0172
"394",1325,"Iraq","BrownFL",1,"10/10/2002","House","Authority",1,0.0139
"397",1321,"Iraq","BrownOH",1,"10/10/2002","House","Authority",1,0.026
"403",571,"Iraq","BrownOH",1,"3/11/2003","House","Authority",2,0.024
"406",319,"Iraq","Byrd",1,"9/5/2002","Senate","Authority",4,0.077
"408",386,"Iraq","Byrd",1,"9/20/2002","Senate","Authority",1,0.0073
"410",44,"Iraq","Byrd",1,"9/20/2002","Senate","Authority",3,0.0115
"414",45,"Iraq","Byrd",1,"9/26/2002","Senate","Authority",2,0.0089
"418",355,"Iraq","Byrd",1,"10/7/2002","Senate","Authority",2,0.0097
"421",371,"Iraq","Byrd",1,"10/8/2002","Senate","Authority",8,0.0311
"426",406,"Iraq","Byrd",1,"10/10/2002","Senate","Authority",42,0.0374
"431",41,"Iraq","Byrd",1,"1/29/2003","Senate","Authority",7,0.0398
"435",354,"Syria","Byrd",1,"11/11/2003","Senate","Authority",2,0.0426
"437",64,"Kosovo","Byrd",1,"10/14/1998","Senate","Authority",7,0.0344
"441",477,"Iraq","Cantwell",1,"10/10/2002","Senate","Authority",4,0.0176
"453",1015,"Libya","Capuano",1,"6/3/2011","House","Authority",1,0.0306
"460",1470,"Iraq","Cardin",1,"10/9/2002","House","Authority",3,0.0453
"463",546,"Sudan","Cardin",1,"4/5/2006","House","Authority",1,0.0251
"466",2052,"Iran","Cardin",1,"3/29/2007","Senate Hearings","Authority",2,0.0509
"467",2418,"Sudan","Cardin",1,"4/11/2007","Senate Hearings","Authority",2,0.0274
"473",2080,"Iran","Cardin",1,"6/22/2010","Senate Hearings","Authority",1,0.0182
"479",46,"Russia","Cardin",1,"2/16/2012","Senate","Authority",5,0.0296
"484",203,"Syria","Cardin",1,"2/26/2012","Senate","Authority",5,0.0358
"489",2254,"Syria","Cardin",1,"4/19/2012","House Hearings","Authority",4,0.0497
"497",472,"Iraq ","Carper",1,"10/10/2002","Senate","Authority",7,0.0282
"501",1232,"Iraq","Carson",1,"10/9/2002","House","Authority",3,0.0275
"506",2412,"Sudan","Casey",1,"4/11/2007","Senate Hearings","Authority",1,0.0323
"507",2305,"Russia","Casey",1,"9/17/2008","Senate Hearings","Authority",1,0.0091
"513",2407,"Sudan","Casey",1,"5/12/2010","Senate Hearings","Authority",2,0.0599
"515",2071,"Iran","Casey",1,"5/11/2011","Senate Hearings","Authority",8,0.0214
"520",2209,"Libya","Casey",1,"6/28/2011","Senate Hearings","Authority",2,0.0709
"521",2235,"Syria","Casey",1,"11/9/2011","House Hearings","Authority",1,0.003
"525",50,"Iran","Casey",1,"12/7/2011","Senate","Authority",2,0.0275
"528",2243,"Syria","Casey",1,"3/1/2012","House Hearings","Authority",1,0.0213
"530",2117,"Iran","Casey",1,"7/25/2012","Senate Hearings","Authority",3,0.0159
