"","ID","Region","Name","Party","Date","Venue","Foundation","Reference","Coverage"
"694",340,"Syria","Daschle",1,"11/11/2003","Senate","Purity",1,0.0129
"701",77,"Kosovo","Daschle",1,"10/12/1998","Senate","Purity",1,0.01
"728",585,"Iraq","DeFazio",1,"9/18/2002","House","Purity",1,0.0128
"741",1477,"Iraq","Delahunt",1,"10/9/2002","House","Purity",1,0.0047
"759",1152,"Libya","Deutch",1,"3/31/2011","House Hearings","Purity",1,0.0527
"761",1972,"Russia","Deutch",1,"7/7/2011","House Hearings","Purity",1,0.0417
"765",911,"Iran","Deutch",1,"10/14/2011","House Hearings","Purity",1,0.0197
"789",85,"Iraq","Dodd",1,"3/7/2003","Senate","Purity",1,0.0036
"802",82,"Sudan","Dodd",1,"4/24/2007","Senate","Purity",1,0.0078
"805",84,"Sudan","Dodd",1,"7/31/2007","Senate","Purity",2,0.0265
"810",83,"Sudan","Dodd",1,"8/2/2007","Senate","Purity",1,0.0181
"832",75,"Afghanistan","Dorgan",1,"9/14/2001","Senate","Purity",1,0.0089
"841",207,"Iraq","Dorgan",1,"3/12/1998","Senate","Purity",2,0.0116
"844",246,"Kosovo","Dorgan",1,"3/22/1999","Senate","Purity",1,0.011
"851",595,"Sudan","Doyle",1,"9/19/2006","House","Purity",1,0.0193
"857",607,"Iraq","Durbin",1,"9/10/2002","House","Purity",2,0.0059
"868",606,"Sudan","Durbin",1,"5/17/2004","House","Purity",1,0.0228
"873",100,"Sudan","Durbin",1,"5/2/2006","Senate","Purity",2,0.0132
"876",95,"Sudan","Durbin",1,"12/6/2006","Senate","Purity",1,0.0066
"885",96,"Sudan","Durbin",1,"2/16/2007","Senate","Purity",1,0.0064
"890",98,"Sudan","Durbin",1,"3/1/2007","Senate","Purity",1,0.006
"895",101,"Sudan","Durbin",1,"5/10/2007","Senate","Purity",2,0.0097
"899",92,"Sudan","Durbin",1,"5/24/2007","Senate","Purity",2,0.0176
"903",97,"Sudan","Durbin",1,"6/28/2007","Senate","Purity",2,0.0288
"912",103,"Sudan","Durbin",1,"10/26/2007","Senate","Purity",1,0.0164
"926",244,"Syria","Durbin",1,"3/15/2012","Senate","Purity",9,0.0819
"936",105,"Iraq","EdwardsNC",1,"9/12/2002","Senate","Purity",1,0.0075
"940",1485,"Iraq","EdwardsTX",1,"10/9/2002","House","Purity",1,0.0156
"951",1078,"Libya","Ellison",1,"6/24/2011","House","Purity",1,0.0447
"955",1103,"Kosovo","Engel",1,"3/17/1998","House","Purity",2,0.021
"965",722,"Iran","Engel",1,"4/26/2006","House","Purity",1,0.024
"974",1155,"Iran","Engel",1,"7/9/2008","House Hearings","Purity",2,0.0396
"986",613,"Kosovo","Engel",1,"3/24/1998","House","Purity",2,0.0294
"990",610,"Kosovo","Engel",1,"6/5/1998","House","Purity",3,0.0473
"997",615,"Kosovo","Engel",1,"10/1/1998","House","Purity",7,0.0923
"1010",1651,"Afghanistan","Faleomavaega",1,"9/14/2001","House","Purity",2,0.1018
"1016",1804,"North Korea","Faleomavaega",1,"2/17/2005","House Hearings","Purity",2,0.0096
"1026",1947,"Russia","Faleomavaega",1,"11/9/2008","House Hearings","Purity",1,0.0113
"1037",1677,"Afghanistan","Fattah",1,"9/14/2001","House","Purity",1,0.1379
"1043",111,"Kosovo","Feingold",1,"6/9/1998","Senate","Purity",2,0.029
"1050",2486,"Sudan","Feingold",1,"6/11/2002","Senate Hearings","Purity",2,0.005
"1073",116,"Sudan","Feingold",1,"3/30/2004","Senate","Purity",2,0.0273
"1098",113,"Sudan","Feingold",1,"7/19/2006","Senate","Purity",1,0.0205
"1104",182,"Sudan","Feingold",1,"9/11/2006","Senate","Purity",2,0.024
"1109",180,"Sudan","Feingold",1,"5/17/2007","Senate","Purity",1,0.0135
"1116",923,"Sudan","Feingold",1,"7/31/2007","House","Purity",2,0.0148
"1136",2424,"Sudan","Feingold",1,"5/15/1997","Senate Hearings","Purity",1,0.0044
"1143",210,"Iraq","Feinstein",1,"9/5/2002","Senate","Purity",1,0.0066
"1148",581,"Iraq","Feinstein",1,"9/5/2002","Senate","Purity",1,0.0065
"1152",212,"Iraq","Feinstein",1,"9/25/2002","Senate","Purity",2,0.0091
"1156",486,"Iraq","Feinstein",1,"10/10/2002","Senate","Purity",1,0.0136
"1160",185,"North Korea","Feinstein",1,"4/10/2003","Senate","Purity",1,0.0047
